subjid,cond,decisions,outcomes
11,1,2,0
11,1,1,1
11,1,1,1
11,1,2,0
11,1,1,1
11,1,1,1
11,1,1,1
11,1,2,0
11,1,1,0
11,1,1,0
11,1,2,0
11,1,1,0
11,1,2,0
11,1,1,1
11,1,1,1
11,1,2,0
11,1,2,0
11,1,2,0
11,1,2,0
11,1,2,1
11,1,1,1
11,1,1,1
11,1,1,1
11,1,1,1
11,1,2,0
11,1,2,0
11,1,1,1
11,1,1,1
11,1,2,0
11,1,2,1
11,1,1,0
11,1,1,0
11,1,1,1
11,1,2,1
11,1,2,0
11,1,2,0
11,1,2,0
11,1,1,1
11,1,2,1
11,1,1,1
11,1,2,1
11,1,2,0
11,1,1,1
11,1,2,0
11,1,1,1
11,1,1,1
11,1,1,0
11,1,2,0
11,1,1,0
11,1,1,0
11,1,2,1
11,1,2,0
11,1,2,0
11,1,2,0
11,1,1,0
11,1,2,1
11,1,1,1
11,1,2,0
11,1,2,0
11,1,2,0
11,1,1,0
11,1,1,0
11,1,2,0
11,1,2,1
11,1,2,0
11,1,2,1
11,1,2,1
11,1,1,1
11,1,2,0
11,1,1,0
11,1,2,0
11,1,1,0
11,1,2,0
11,1,2,1
11,1,2,0
11,1,2,0
11,1,1,1
11,1,1,1
11,1,1,1
11,1,1,1
11,1,2,0
11,1,2,1
11,1,1,1
11,1,2,1
11,1,2,0
11,1,2,1
11,1,1,1
11,1,1,1
11,1,2,0
11,1,1,0
11,1,2,0
11,1,1,1
11,1,2,1
11,1,1,1
11,1,2,0
11,1,2,0
11,1,2,0
11,1,1,1
11,1,2,0
11,1,1,0
11,1,1,0
11,1,1,1
11,1,1,0
11,1,1,0
11,1,1,1
11,1,2,1
11,1,2,0
11,1,2,0
11,1,2,1
